Image Num.,Wavelength,Method,x,y,x-avex,y-avey
01,435,lin,2861.7204242728526,2821.2742865380596,0.064975811488238833,0.0043171225415790104
01,435,parab,2861.6225779243082,2821.2754315793964,-0.032870537056169269,0.0054621638782919035
01,435,cubic,2861.6233431869318,2821.2601901290977,-0.032105274432524311,-0.0097792864203256613
01,435,ave,2861.6554484613644,2821.2699694155181,0,0
01,606,lin,2861.7204242728526,2821.2742865380596,0.064975811488238833,0.0043171225415790104
01,606,parab,2861.6225779243082,2821.2754315793964,-0.032870537056169269,0.0054621638782919035
01,606,cubic,2861.6233431869318,2821.2601901290977,-0.032105274432524311,-0.0097792864203256613
01,606,ave,2861.6554484613644,2821.2699694155181,0,0
04,435,lin,2843.4822815732437,2804.8976243476181,0.048179002638335078,0.026564510697880905
04,435,parab,2843.4077793676893,2804.8428451754635,-0.026323202916046284,-0.028214661456786416
04,435,cubic,2843.412246770883,2804.8727099876792,-0.021855799722288793,0.0016501507589055109
04,435,ave,2843.4341025706053,2804.8710598369203,0,0
04,814,lin,2843.4822815732437,2804.8976243476181,0.048179002638335078,0.026564510697880905
04,814,parab,2843.4077793676893,2804.8428451754635,-0.026323202916046284,-0.028214661456786416
04,814,cubic,2843.412246770883,2804.8727099876792,-0.021855799722288793,0.0016501507589055109
04,814,ave,2843.4341025706053,2804.8710598369203,0,0
05,606,lin,2843.5801728067077,2804.737021772421,0.042551199111585447,0.020792448878182768
05,606,parab,2843.5144565902483,2804.67122690108,-0.02316501734776466,-0.045002422462857794
05,606,cubic,2843.5182354258327,2804.7404392971266,-0.019386181763366039,0.024209973583765532
05,606,ave,2843.5376216075961,2804.7162293235428,0,0
05,814,lin,2843.5801728067077,2804.737021772421,0.042551199111585447,0.020792448878182768
05,814,parab,2843.5144565902483,2804.67122690108,-0.02316501734776466,-0.045002422462857794
05,814,cubic,2843.5182354258327,2804.7404392971266,-0.019386181763366039,0.024209973583765532
05,814,ave,2843.5376216075961,2804.7162293235428,0,0
06,435,lin,2573.0146749499149,2539.8928573944563,0.034701157247127412,0.11164379412639391
06,435,parab,2572.9644897944663,2539.7212993451653,-0.015483998201489158,-0.059914255164585484
06,435,cubic,2572.9607566336222,2539.7294840613677,-0.019217159045638255,-0.051729538962263177
06,435,ave,2572.9799737926678,2539.7812136003299,0,0
07,814,lin,2571.5867660681429,2540.2280547747646,0.04633997813834867,0.26186295484649236
07,814,parab,2571.5152066512869,2539.8257260486353,-0.02521943871761323,-0.14046577128283388
07,814,cubic,2571.5193055505829,2539.8447946363535,-0.021120539421644935,-0.12139718356456797
07,814,ave,2571.5404260900045,2539.9661918199181,0,0
08,606,lin,2572.1280302564924,2539.1523267900038,0.068766751803195802,0.25498455963725064
08,606,parab,2572.0247293435573,2538.7123599113047,-0.034534161131887231,-0.18498231906187357
08,606,cubic,2572.0250309140174,2538.8273399897912,-0.034232590671763319,-0.070002240575377073
08,606,ave,2572.0592635046892,2538.8973422303666,0,0
09,435,lin,2121.7327175025739,2088.5794606591353,0.050152750282450143,0.016107667099277023
09,435,parab,2121.6561045341359,2088.5560375361133,-0.026460218155534676,-0.0073154559227077698
09,435,cubic,2121.6588722201654,2088.5545607808604,-0.023692532126005972,-0.0087922111756597587
09,435,ave,2121.6825647522915,2088.563352992036,0,0
09,814,lin,2121.7327175025739,2088.5794606591353,0.050152750282450143,0.016107667099277023
09,814,parab,2121.6561045341359,2088.5560375361133,-0.026460218155534676,-0.0073154559227077698
09,814,cubic,2121.6588722201654,2088.5545607808604,-0.023692532126005972,-0.0087922111756597587
09,814,ave,2121.6825647522915,2088.563352992036,0,0
10,606,lin,2122.1046908738613,2088.2084041804169,0.040907012234583817,0.0075813247831320041
10,606,parab,2122.0440188797265,2088.1969943948925,-0.019764981900152634,-0.003828460741260642
10,606,cubic,2122.0426418312918,2088.1970699915923,-0.021142030334885931,-0.0037528640414166148
10,606,ave,2122.0637838616267,2088.2008228556338,0,0
10,814,lin,2122.1046908738613,2088.2084041804169,0.040907012234583817,0.0075813247831320041
10,814,parab,2122.0440188797265,2088.1969943948925,-0.019764981900152634,-0.003828460741260642
10,814,cubic,2122.0426418312918,2088.1970699915923,-0.021142030334885931,-0.0037528640414166148
10,814,ave,2122.0637838616267,2088.2008228556338,0,0
