File,Sir B x,Sir B y
ibk703010_drz.fits,599.6792855,658.6082666
ibk703020_drz.fits,599.6712882,658.5894605
ibk703030_drz.fits,599.7282684,658.5403992
ibk703040_drz.fits,599.7052746,658.5333777
ibti03010_drz.fits,644.1252805,622.1660808
ibti03020_drz.fits,644.1406959,622.1462177
ibti03030_drz.fits,644.1529427,622.1666573
ibti03040_drz.fits,644.1755291,622.2144862
ic1k03010_drz.fits,649.9209554,623.5169426
ic1k03020_drz.fits,649.9413172,623.5121453
ic1k03030_drz.fits,649.9604392,623.5148919
ic1k03040_drz.fits,650.0039046,623.5130738
ica103010_drz.fits,373.2514138,453.6248988
ica103020_drz.fits,373.2416337,453.6138386
ica103030_drz.fits,373.1991789,453.5728075
ica103040_drz.fits,373.2047957,453.5550533
