Author,Instrument,Band,Separation,Sep. Err.,PA,PA Error,Epoch,MJD,,,x (mas),x err (mas),y (mas),y err (mas),Notes
,,,,,,,,53200,3200,3200,-739,6,612,6,
,,,,,,,,54314,4314,4314,-683,4,671,4,
,,,,,,,,54398,4398,4398,-678,7,676,7,
,,,,,,,,54727,4727,4727,-663,3,693,3,
,,,,,,,,55042,5042,5042,-639,4,712,4,
,,,,,,,,55044,5044,5044,-635,9,722,9,NOTE: might want to avoid fitting this point; very close to the previous epoch (Jul 30 09 vs Aug 1 09)
,,,,,,,,55136,5136,5136,-636,9,720,9,
,,,,,,,,55390,5390,5390,-619,4,728,4,
,,,,,,,,55499,5499,5499,-607,12,744,12,
,,,,,,,,55763,5763,5763,-595,4,747,4,
,,,,,,,,56130,6130,6130,-578,5,761,5,
,,,,,,,,56266,6266,6266,-572,3,768,3,
,,,,,,,,56581,6581,6581,-542,22,784,22,
,,,,,,,,56855,6855,6855,-540,13,799,13,
